movie_name,director,year,jump_count,jump_score,netflix,imdb_score
The First Purge,Gerard McMurray,2018.0,8.0,2.5,No,5.2
The Fly,David Cronenberg,1986.0,2.0,0.5,No,7.5
The Fog,John Carpenter,1980.0,16.0,3.5,No,6.8
The Forest,Jason Zada,2016.0,13.0,3.5,No,4.8
The Forgotten,Joseph Ruben,2004.0,7.0,3.0,No,5.8
The Gallows,"Travis Cluff, Chris Lofing",2015.0,21.0,4.0,No,4.2
The Gift,Joel Edgerton,2015.0,5.0,1.5,No,7.1
The Girl with All the Gifts,Colm McCarthy,2016.0,3.0,1.0,No,6.8
The Good Neighbor,Kasra Farahani,2016.0,7.0,2.0,Yes,6.3
The Green Inferno,Eli Roth,2013.0,4.0,1.0,No,5.7
The Grudge,Takashi Shimizu,2004.0,23.0,4.0,No,5.9
The Guest,Adam Wingard,2014.0,5.0,1.5,No,6.7
The Hallow,Corin Hardy,2015.0,17.0,3.5,No,5.7
The Happening,M. Night Shyamalan,2008.0,1.0,0.5,No,5.0
The Harvest,John McNaughton,2013.0,0.0,0.0,No,5.9
The Haunting,Robert Wise,1963.0,3.0,1.0,No,7.6
The Haunting in Connecticut,Peter Cornwell,2009.0,26.0,4.5,No,5.9
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013.0,32.0,5.0,No,5.3
The Hills Have Eyes,Alexandre Aja,2006.0,9.0,2.5,No,6.4
The Hole,Nick Hamm,2001.0,3.0,0.5,No,6.2
The House of the Devil,Ti West,2009.0,4.0,1.0,No,6.4
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015.0,5.0,1.0,No,5.3
The House with a Clock in Its Walls,Eli Roth,2018.0,8.0,1.5,No,6.2
The Howling,Joe Dante,1981.0,10.0,2.5,No,6.6
The Human Centipede (First Sequence),Tom Six,2009.0,4.0,1.5,No,4.4
The Innkeepers,Ti West,2011.0,9.0,2.0,No,5.5
The Innocents,Jack Clayton,1961.0,4.0,0.5,No,7.9
The Invitation,Karyn Kusama,2015.0,5.0,1.0,Yes,6.6
The Jacket,John Maybury,2005.0,6.0,1.5,No,7.1
The Killing of a Sacred Deer,Yorgos Lanthimos,2017.0,3.0,0.5,No,7.6
The Last Exorcism,Daniel Stamm,2010.0,7.0,2.0,No,5.6
The Last House on the Left,Dennis Iliadis,2009.0,4.0,0.5,No,6.6
The Lazarus Effect,David Gelb,2015.0,18.0,4.5,No,5.2
The Limehouse Golem,Juan Carlos Medina,2016.0,0.0,0.0,No,6.4
The Little Stranger,Lenny Abrahamson,2018.0,0.0,0.0,No,5.6
The Love Witch,Anna Biller,2016.0,0.0,0.0,No,6.2
The Meg,Jon Turteltaub,2018.0,18.0,3.5,No,6.1
The Messengers,"Danny Pang, Oxide Chun Pang",2007.0,27.0,4.5,No,5.4
The Midnight Meat Train,Ryûhei Kitamura,2008.0,1.0,0.5,No,6.2
The Mist,Frank Darabont,2007.0,5.0,1.0,No,7.2
The Monster,Bryan Bertino,2016.0,11.0,3.0,Yes,5.4
The Mothman Prophecies,Mark Pellington,2002.0,4.0,1.0,No,6.5
The Mummy,Alex Kurtzman,2017.0,16.0,3.5,No,5.5
The Neighbor,Marcus Dunstan,2016.0,3.0,1.0,No,5.8
The Neon Demon,Nicolas Winding Refn,2016.0,2.0,0.5,No,6.2
The New Daughter,Luiso Berdejo,2009.0,11.0,2.5,No,5.3
The Ninth Gate,Roman Polanski,1999.0,0.0,0.0,No,6.7
The Number 23,Joel Schumacher,2007.0,3.0,0.5,No,6.4
The Nun,Corin Hardy,2018.0,21.0,4.5,No,6.0
The Omen,Richard Donner,1976.0,1.0,0.5,No,7.6
The Ones Below,David Farr,2015.0,0.0,0.0,Yes,6.1
The Open House,"Matt Angel, Suzanne Coote",2018.0,14.0,3.0,Yes,3.3
The Orphanage,J.A. Bayona,2007.0,6.0,1.5,No,7.5
The Other Side of the Door,Johannes Roberts,2016.0,16.0,3.5,No,5.3
The Others,Alejandro Amenábar,2001.0,4.0,2.0,No,7.6
The Pact,Nicholas McCarthy,2012.0,12.0,3.0,No,5.8
The People Under the Stairs,Wes Craven,1991.0,13.0,3.0,No,6.3
The Possession,Ole Bornedal,2012.0,10.0,3.0,No,5.9
The Possession of Michael King,David Jung,2014.0,20.0,4.0,No,5.7
The Predator,Shane Black,2018.0,6.0,1.5,No,5.6
The Purge,James DeMonaco,2013.0,12.0,3.0,No,5.6
The Purge: Anarchy,James DeMonaco,2014.0,13.0,3.0,No,6.5
The Purge: Election Year,James DeMonaco,2016.0,9.0,2.5,No,6.0
The Quiet Ones,John Pogue,2014.0,23.0,4.0,No,5.1
The Return of the Living Dead,Dan O'Bannon,1985.0,1.0,0.5,No,7.3
The Ring,Gore Verbinski,2002.0,9.0,2.5,No,7.1
The Ring Two,Hideo Nakata,2005.0,11.0,3.0,No,5.4
The Rite,Mikael Håfström,2011.0,7.0,2.0,Yes,6.0
The Ritual,David Bruckner,2017.0,15.0,3.0,Yes,6.3
The Sacrament,Ti West,2013.0,2.0,0.5,No,6.1
The Shallows,Jaume Collet-Serra,2016.0,9.0,2.5,No,6.3
The Shape of Water,Guillermo del Toro,2017.0,2.0,0.5,No,8.1
The Shining,Stanley Kubrick,1980.0,3.0,0.5,Yes,8.4
The Silence of the Lambs,Jonathan Demme,1991.0,0.0,0.0,No,8.6
The Sixth Sense,M. Night Shyamalan,1999.0,8.0,1.5,Yes,8.2
The Skeleton Key,Iain Softley,2005.0,11.0,3.0,No,6.5
The Snowman,Tomas Alfredson,2017.0,9.0,2.0,No,5.1
The Strangers,Bryan Bertino,2008.0,16.0,4.5,No,6.2
The Strangers: Prey at Night,Johannes Roberts,2018.0,14.0,3.5,No,5.5
The Taking of Deborah Logan,Adam Robitel,2014.0,19.0,3.5,No,6.0
The Texas Chain Saw Massacre,Tobe Hooper,1974.0,2.0,1.0,No,7.5
The Texas Chainsaw Massacre,Marcus Nispel,2003.0,16.0,3.0,No,6.2
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006.0,17.0,3.5,Yes,5.9
The Thing,John Carpenter,1982.0,7.0,2.0,No,8.2
The Thing,Matthijs van Heijningen Jr.,2011.0,7.0,2.5,No,6.2
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014.0,8.0,3.0,No,5.6
The Transfiguration,Michael O’Shea,2016.0,2.0,1.0,No,5.9
The Tunnel,Carlo Ledesma,2011.0,6.0,2.5,No,5.9
The Unborn,David S. Goyer,2009.0,14.0,3.5,Yes,4.8
The Uninvited,Charles & Thomas Guard,2009.0,11.0,3.0,Yes,6.4
The Veil,Phil Joanou,2016.0,12.0,3.0,Yes,4.7
The Village,M. Night Shyamalan,2004.0,4.0,1.0,No,6.5
The Visit,M. Night Shyamalan,2015.0,8.0,2.5,No,6.2
The Voices,Marjane Satrapi,2014.0,3.0,0.5,No,6.3
The Void,"Jeremy Gillespie, Steven Kostanski",2016.0,8.0,2.0,Yes,5.8
The Wailing,Na Hong-jin,2016.0,4.0,1.0,Yes,7.5
The Ward,John Carpenter,2010.0,15.0,4.0,No,5.6
The Wicker Man,Robin Hardy,1973.0,4.0,0.5,No,7.6
The Witch,Robert Eggers,2015.0,4.0,1.5,Yes,6.8
The Wolfman,Joe Johnston,2010.0,18.0,4.0,No,5.8
The Woman in Black,James Watkins,2012.0,16.0,4.0,No,6.5
The Woman in Black 2: Angel of Death,Tom Harper,2014.0,14.0,4.0,No,4.9
Them (Ils),"David Moreau, Xavier Palud",2006.0,16.0,4.0,No,6.5
Thesis (Tesis),Alejandro Amenábar,1996.0,3.0,0.5,No,7.5
They Look Like People,Perry Blackshear,2015.0,2.0,0.5,No,6.1
Thirteen Ghosts,Steve Beck,2001.0,17.0,3.0,No,5.5
Timecrimes,Nacho Vigalondo,2007.0,3.0,0.5,No,7.2
Tragedy Girls,Tyler Macintyre,2017.0,8.0,2.0,No,6.1
Train to Busan,Sang-ho Yeon,2016.0,4.0,1.0,Yes,7.5
Trash Fire,Richard Bates Jr.,2016.0,0.0,0.0,Yes,5.8
Tremors,Ron Underwood,1990.0,16.0,2.5,No,7.1
Triangle,Christopher Smith,2009.0,5.0,1.0,No,6.9
Trick 'r Treat,Michael Dougherty,2007.0,6.0,2.5,No,6.8
Truth or Dare,Jeff Wadlow,2018.0,7.0,2.0,No,4.8
Tucker and Dale vs. Evil,Eli Craig,2010.0,9.0,1.5,No,7.6
Tusk,Kevin Smith,2014.0,0.0,0.0,Yes,5.4
Under the Shadow,Babak Anvari,2016.0,9.0,3.5,Yes,7.0
Unfriended,Leo Gabriadze,2014.0,5.0,3.0,No,5.8
Unfriended: Dark Web,Stephen Susco,2018.0,6.0,1.5,No,5.5
Unsane,Steven Soderbergh,2018.0,2.0,0.5,No,6.7
Urban Legend,Jamie Blanks,1998.0,17.0,4.0,No,5.5
Us,Jordan Peele,2019.0,11.0,2.5,No,7.4
Uzumaki,Higuchinsky,2000.0,15.0,3.0,No,6.2
Vacancy,Nimród Antal,2007.0,12.0,2.5,No,6.2
Velvet Buzzsaw,Dan Gilroy,2019.0,10.0,2.5,No,6.1
Veronica,Paco Plaza,2017.0,10.0,3.0,Yes,6.5
V/H/S,Various Directors,2012.0,7.0,3.5,No,5.8
V/H/S/2,Various Directors,2013.0,14.0,4.0,No,6.1
Victor Frankenstein,Paul McGuigan,2015.0,6.0,1.5,No,6.0
Viral,"Henry Joost, Ariel Schulman",2016.0,20.0,4.0,No,5.5
Visions,Kevin Greutert,2015.0,10.0,3.5,No,5.4
Wait Until Dark,Terence Young,1967.0,1.0,0.5,No,7.9
We Are Still Here,Ted Geoghegan,2015.0,12.0,3.0,No,5.7
Wes Craven's New Nightmare,Wes Craven,1994.0,11.0,2.5,No,6.4
What Lies Beneath,Robert Zemeckis,2000.0,16.0,3.0,No,6.6
When a Stranger Calls,Fred Walton,1979.0,5.0,2.0,No,6.6
Wildling,Fritz Böhm,2018.0,4.0,1.5,No,6.1
Winchester,"Michael Spierig, Peter Spierig",2018.0,17.0,4.0,No,5.4
Wind Chill,Gregory Jacobs,2007.0,13.0,3.0,No,5.9
Wish Upon,John R. Leonetti,2017.0,11.0,2.0,No,4.8
Wolf Creek,Greg McLean,2005.0,0.0,0.0,No,6.3
World War Z,Marc Forster,2013.0,7.0,2.5,No,7.0
Would You Rather,David Guy Levy,2012.0,3.0,1.0,Yes,5.8
Wrong Turn,Rob Schmidt,2003.0,13.0,3.0,No,6.1
You're Next,Adam Wingard,2011.0,11.0,3.0,No,6.5
Zodiac,David Fincher,2007.0,3.0,0.5,No,7.7
Zombieland,Ruben Fleischer,2009.0,9.0,3.0,No,7.7
