movie_name,director,year,jump_count,jump_score,netflix,imdb_score
Dead Silence,James Wan,2007.0,15.0,4.0,No,6.2
Death Note,Adam Wingard,2017.0,6.0,1.5,Yes,4.6
Deathgasm,Jason Lei Howden,2015.0,7.0,2.0,No,6.3
Deep Blue Sea,Renny Harlin,1999.0,10.0,2.5,No,5.8
Deep Red,Dario Argento,1975.0,7.0,1.5,No,7.7
Deliver Us From Evil,Scott Derrickson,2014.0,16.0,4.0,No,6.2
Dementia,Mike Testin,2015.0,0.0,0.0,No,5.0
Demonic,Will Canon,2015.0,17.0,4.0,Yes,5.3
Devil,John Erick Dowdle,2010.0,4.0,1.5,No,6.3
Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014.0,13.0,3.0,No,4.1
Devil's Pass,Renny Harlin,2013.0,10.0,2.5,No,5.7
Dismissed,Benjamin Arfmann,2017.0,0.0,0.0,No,5.8
Disturbia,D.J. Caruso,2007.0,13.0,3.0,No,6.9
Dog Soldiers,Neil Marshall,2002.0,13.0,3.0,No,6.8
Donnie Darko,Richard Kelly,2001.0,3.0,1.0,No,8.1
Don't Be Afraid of the Dark,Troy Nixey,2010.0,8.0,3.0,No,5.6
Don't Breathe,Fede Alvarez,2016.0,17.0,3.5,No,7.2
Don't Knock Twice,Caradog W. James,2016.0,19.0,3.5,No,5.2
Doom,Andrzej Bartkowiak,2005.0,15.0,3.5,Yes,5.2
Dracula Untold,Gary Shore,2014.0,4.0,1.0,No,6.3
Drag Me To Hell,Sam Raimi,2009.0,23.0,4.5,No,6.6
Dreamcatcher,Lawrence Kasdan,2003.0,11.0,3.0,No,5.5
Eden Lake,James Watkins,2008.0,3.0,1.0,No,6.8
Elle,Paul Verhoeven,2016.0,7.0,2.0,No,7.3
Emelie,Michael Thelin,2015.0,3.0,0.5,Yes,5.4
Europa Report,Sebastián Cordero,2013.0,1.0,0.5,No,6.5
Event Horizon,Paul W.S. Anderson,1997.0,11.0,3.0,No,6.7
Evil Dead,Fede Alvarez,2013.0,20.0,4.0,No,6.5
Evil Dead II,Sam Raimi,1987.0,27.0,4.0,No,7.8
Exorcist: The Beginning,Renny Harlin,2004.0,17.0,4.0,No,5.1
Extinction,Miguel Ángel Vivas,2015.0,12.0,3.0,No,5.8
Extraterrestrial,Colin Minihan,2014.0,30.0,4.5,No,5.0
Fear Clinic,Robert Hall,2014.0,13.0,3.0,No,5.6
Final Destination,James Wong,2000.0,4.0,2.0,Yes,6.7
Final Destination 2,David R. Ellis,2003.0,3.0,1.0,Yes,6.2
Final Destination 3,James Wong,2006.0,5.0,1.0,Yes,5.8
Final Destination 5,Steven Quale,2011.0,5.0,1.5,No,5.9
Flatliners,Joel Schumacher,1990.0,7.0,2.0,Yes,6.6
Flatliners,Niels Arden Oplev,2017.0,20.0,4.0,No,5.0
Frailty,Bill Paxton,2001.0,0.0,0.0,No,7.3
Freddy vs. Jason,Ronny Yu,2003.0,24.0,4.0,No,5.8
Friday the 13th,Sean S. Cunningham,1980.0,10.0,3.0,No,6.5
Friday the 13th,Marcus Nispel,2009.0,23.0,4.0,No,5.6
Friend Request,Simon Verhoeven,2016.0,21.0,4.0,Yes,5.4
Fright Night,Craig Gillespie,2011.0,10.0,3.0,No,6.4
Funny Games,Michael Haneke,1997.0,1.0,0.5,No,7.6
Funny Games,Michael Haneke,2007.0,1.0,0.5,No,6.5
Gerald's Game,Mike Flanagan,2017.0,3.0,0.5,Yes,7.1
Get Out,Jordan Peele,2017.0,10.0,2.5,No,7.8
Ghost Ship,Steve Beck,2002.0,12.0,3.0,Yes,5.5
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017.0,20.0,4.0,No,6.6
Ghostland,Pascal Laugier,2018.0,21.0,4.0,No,6.3
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014.0,1.0,0.5,No,6.7
Goosebumps,Rob Letterman,2015.0,10.0,2.5,No,6.4
Gothika,Mathieu Kassovitz,2003.0,16.0,3.5,Yes,5.8
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011.0,12.0,4.0,No,6.1
Green Room,Jeremy Saulnier,2015.0,1.0,0.5,Yes,7.2
Gremlins,Joe Dante,1984.0,17.0,3.5,No,7.2
Halloween,John Carpenter,1978.0,13.0,2.5,No,7.9
Halloween,Rob Zombie,2007.0,9.0,3.0,No,6.1
Halloween,David Gordon Green,2018.0,14.0,3.5,No,7.5
Halloween H20: 20 Years Later,Steve Miner,1998.0,16.0,3.5,No,5.6
Halloween II,Rick Rosenthal,1981.0,8.0,2.0,No,6.5
Halloween II,Rob Zombie,2009.0,16.0,3.0,No,4.9
Hannibal,Ridley Scott,2001.0,2.0,0.5,No,6.8
Hannibal Rising,Peter Webber,2007.0,0.0,0.0,No,6.2
Happy Death Day 2U,Christopher Landon,2019.0,7.0,2.0,No,6.5
Happy Death Day,Christopher Landon,2017.0,8.0,2.5,No,6.7
Hellboy,Guillermo del Toro,2004.0,6.0,1.5,No,6.8
Hellraiser,Clive Barker,1987.0,5.0,2.0,No,7.1
Here Alone,Rod Blackhurst,2016.0,2.0,0.5,Yes,5.6
Hereditary,Ari Aster,2018.0,8.0,2.0,No,8.1
Hidden,"Matt Duffer, Ross Duffer",2015.0,4.0,1.5,No,6.4
Hide and Seek,John Polson,2005.0,16.0,3.5,No,5.9
High Tension,Alexandre Aja,2003.0,8.0,2.5,No,6.9
Holidays,Various Directors,2016.0,5.0,2.0,Yes,5.1
Hollow Man,Paul Verhoeven,2000.0,9.0,2.5,No,5.7
Honeymoon,Leigh Janiak,2014.0,3.0,0.5,No,5.6
Horns,Alexandre Aja,2013.0,3.0,0.5,No,6.5
Hostel,Eli Roth,2005.0,2.0,0.5,No,5.9
Hounds of Love,Ben Young,2016.0,0.0,0.0,No,6.6
Hour of the Wolf,Ingmar Bergman,1968.0,1.0,0.5,No,7.7
House,Steve Miner,1986.0,11.0,3.0,No,6.2
House of 1000 Corpses,Rob Zombie,2003.0,6.0,2.5,No,6.0
House of Wax,Jaume Collet-Serra,2005.0,16.0,4.0,No,5.3
House on Haunted Hill,William Malone,1999.0,14.0,3.0,No,5.6
Hush,Mike Flanagan,2016.0,7.0,2.5,Yes,6.6
I Am Legend,Francis Lawrence,2007.0,9.0,2.5,No,7.2
I Am Not a Serial Killer,Billy O’Brien,2016.0,3.0,1.0,No,6.2
"I Am the Pretty Thing
That Lives in the House",Oz Perkins,2016.0,4.0,0.5,Yes,4.7
"I Know What You Did
Last Summer",Jim Gillespie,1997.0,13.0,3.5,Yes,5.6
Identity,James Mangold,2003.0,11.0,2.5,No,7.3
Idle Hands,Rodman Flender,1999.0,10.0,3.0,No,6.2
In The Mouth Of Madness,John Carpenter,1994.0,10.0,3.0,No,7.2
Incarnate,Brad Peyton,2016.0,9.0,2.5,No,5.1
Inland Empire,David Lynch,2006.0,8.0,2.5,No,7.0
Inside,"Alexandre Bustillo, Julien Maury",2007.0,4.0,1.0,No,6.9
Insidious,James Wan,2010.0,24.0,5.0,No,6.8
Insidious: Chapter 2,James Wan,2013.0,22.0,4.0,No,6.6
Insidious: Chapter 3,Leigh Whannell,2015.0,15.0,4.0,No,6.1
Insidious: The Last Key,Adam Robitel,2018.0,15.0,4.0,No,5.8
Interview With the Vampire,Neil Jordan,1994.0,6.0,2.0,No,7.6
Intruders,Adam Schindler,2015.0,4.0,1.0,No,5.7
Invasion of the Body Snatchers,Philip Kaufman,1978.0,4.0,1.0,No,7.4
It,Andy Muschietti,2017.0,23.0,4.0,No,8.2
It Comes at Night,Trey Edward Shults,2017.0,5.0,1.5,No,6.8
It Follows,David Robert Mitchell,2014.0,5.0,2.0,No,6.9
Jacob's Ladder,Adrian Lyne,1990.0,4.0,1.0,No,7.5
Jaws,Steven Spielberg,1975.0,4.0,2.5,No,8.1
Jeepers Creepers,Victor Salva,2001.0,11.0,3.5,No,6.1
Jennifer's Body,Karyn Kusama,2009.0,6.0,2.0,No,5.1
Jessabelle,Kevin Greutert,2014.0,9.0,2.0,No,5.4
Jigsaw,"Michael Spierig, Peter Spierig",2017.0,7.0,2.0,No,6.3
Joy Ride,John Dahl,2001.0,2.0,0.5,No,6.6
Julia's Eyes,Guillem Morales,2010.0,7.0,2.0,No,6.6
Jurassic Park,Steven Spielberg,1993.0,9.0,2.5,No,8.1
Jurassic World,Colin Trevorrow,2015.0,5.0,2.0,No,7.0
Jurassic World: Fallen Kingdom,J.A. Bayona,2018.0,7.0,2.0,No,6.5
Kill List,Ben Wheatley,2011.0,1.0,0.5,No,6.3
Knock Knock,Eli Roth,2015.0,2.0,0.5,No,4.9
Krampus,Michael Dougherty,2015.0,10.0,2.0,No,6.2
Lake Mungo,Joel Anderson,2008.0,1.0,0.5,No,6.1
Lake Placid,Steve Miner,1999.0,11.0,2.5,No,5.6
Last Shift,Anthony DiBlasi,2014.0,17.0,4.0,No,5.7
Leatherface,"Alexandre Bustillo, Julien Maury",2017.0,13.0,3.0,No,5.2
Let Me In,Matt Reeves,2010.0,3.0,0.5,No,7.2
Let The Right One In,Tomas Alfredson,2008.0,2.0,0.5,No,8.0
Let Us Prey,Brian O’Malley,2014.0,7.0,3.0,No,5.6
Life,Daniel Espinosa,2017.0,8.0,2.0,No,6.8
Lights Out,David F. Sandberg,2016.0,19.0,4.5,No,6.4
Little Evil,Eli Craig,2017.0,7.0,1.5,Yes,5.8
Maggie,Henry Hobson,2015.0,4.0,0.5,No,5.6
Malevolent,Olaf de Fleur Johannesson,2018.0,8.0,3.0,Yes,4.8
Malice,Harold Becker,1993.0,3.0,1.0,No,6.4
Mama,Andrés Muschietti,2013.0,13.0,3.5,No,6.2
Mandy,Panos Cosmatos,2018.0,5.0,1.5,No,6.9
Marrowbone,Sergio G. Sánchez,2017.0,5.0,2.5,No,6.6
Martyrs,Pascal Laugier,2008.0,15.0,3.0,No,7.1
May,Lucky McKee,2002.0,0.0,0.0,No,6.7
Mayhem,Joe Lynch,2017.0,2.0,0.5,No,6.5
Megan Is Missing,Michael Goi,2011.0,1.0,0.5,No,4.9
Mirrors,Alexandre Aja,2008.0,15.0,4.0,No,6.2
Misery,Rob Reiner,1990.0,3.0,0.5,No,7.8
Mom and Dad,Brian Taylor,2017.0,5.0,1.5,No,5.7
Morgan,Luke Scott,2016.0,3.0,0.5,No,5.9
Mother!,Darren Aronofsky,2017.0,7.0,2.0,No,7.0
Mulholland Drive,David Lynch,2001.0,1.0,1.0,No,8.0
My Bloody Valentine,George Mihalka,1981.0,11.0,2.5,No,6.2
My Friend Dahmer,Marc Meyers,2017.0,0.0,0.0,No,6.5
Nerve,"Henry Joost, Ariel Schulman",2016.0,1.0,0.5,No,6.7
Nocturnal Animals,Tom Ford,2016.0,1.0,1.0,No,7.5
Noroi: The Curse,Kôji Shiraishi,2005.0,4.0,1.0,No,7.0
Oculus,Mike Flanagan,2013.0,14.0,3.5,No,6.5
Odd Thomas,Stephen Sommers,2013.0,10.0,3.0,No,6.9
One Hour Photo,Mark Romanek,2002.0,1.0,0.5,No,6.8
One Missed Call,Eric Valette,2008.0,15.0,3.5,No,3.9
Only Lovers Left Alive,Jim Jarmusch,2013.0,0.0,0.0,No,7.3
Orphan,Jaume Collet-Serra,2009.0,12.0,3.0,No,7.0
Ouija,Stiles White,2014.0,16.0,4.0,No,4.4
Ouija: Origin of Evil,Mike Flanagan,2016.0,18.0,4.0,No,6.1
Overlord,Julius Avery,2018.0,12.0,2.5,No,7.1
P2,Franck Khalfoun,2007.0,16.0,4.0,No,5.9
Pandorum,Christian Alvart,2009.0,13.0,4.0,Yes,6.8
Pan's Labyrinth,Guillermo del Toro,2006.0,6.0,1.5,No,8.2
Paranormal Activity,Oren Peli,2007.0,10.0,3.5,No,6.3
Paranormal Activity 2,Tod Williams,2010.0,14.0,3.5,No,5.7
Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011.0,20.0,4.0,No,5.9
Paranormal Activity 4,"Henry Joost, Ariel Schulman",2012.0,21.0,4.0,No,4.6
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015.0,29.0,4.0,No,4.6
Patient Zero,Stefan Ruzowitzky,2018.0,6.0,1.5,No,4.3
Pay The Ghost,Uli Edel,2015.0,13.0,3.0,No,5.2
Personal Shopper,Olivier Assayas,2016.0,4.0,0.5,No,6.2
Pet,Carles Torrens,2016.0,2.0,1.0,No,5.7
Pet Sematary,Mary Lambert,1989.0,13.0,3.5,No,6.6
Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019.0,14.0,3.5,No,6.4
Planet Terror,Robert Rodriguez,2007.0,14.0,2.5,No,7.2
Poltergeist,Tobe Hooper,1982.0,9.0,1.0,Yes,7.4
Poltergeist,Gil Kenan,2015.0,21.0,4.0,No,5.0
Pontypool,Bruce McDonald,2008.0,1.0,0.5,No,6.7
Predator,John McTiernan,1987.0,7.0,2.0,No,7.8
Prevenge,Alice Lowe,2016.0,0.0,0.5,No,6.1
Pride and Prejudice and Zombies,Burr Steers,2016.0,7.0,2.0,No,5.8
Prince of Darkness,John Carpenter,1987.0,7.0,2.5,No,6.7
Prometheus,Ridley Scott,2012.0,7.0,1.5,No,7.0
Psycho,Alfred Hitchcock,1960.0,2.0,0.5,No,8.6
Quarantine,John Erick Dowdle,2008.0,14.0,3.5,No,6.0
Ravenous,Antonia Bird,1999.0,4.0,1.0,No,7.1
Raw,Julia Ducournau,2016.0,3.0,1.0,Yes,7.1
Re-Animator,Stuart Gordon,1985.0,4.0,1.0,No,7.3
[Rec],"Jaume Balagueró, Paco Plaza",2007.0,11.0,3.5,No,7.5
Red Dragon,Brett Ratner,2002.0,6.0,2.0,No,7.2
Regression,Alejandro Amenábar,2015.0,3.0,1.0,No,5.7
Repulsion,Roman Polanski,1965.0,7.0,2.5,No,7.8
Resident Evil,Paul W.S. Anderson,2002.0,7.0,2.5,No,6.7
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016.0,29.0,4.5,No,5.6
Resolution,"Justin Benson, Aaron Moorhead",2012.0,2.0,0.5,No,6.2
Restoration,Zack Ward,2016.0,10.0,3.0,No,4.0
Ring (Ringu),Hideo Nakata,1998.0,5.0,2.0,No,7.3
Rings,F. Javier Gutiérrez,2017.0,19.0,3.5,No,4.5
Rosemary's Baby,Roman Polanski,1968.0,0.0,0.0,No,8.0
Saw,James Wan,2004.0,5.0,2.0,No,7.7
Saw II,Darren Lynn Bousman,2005.0,5.0,1.0,No,6.6
Saw III,Darren Lynn Bousman,2006.0,5.0,1.5,No,6.2
Saw IV,Darren Lynn Bousman,2007.0,6.0,1.5,No,5.9
Saw V,David Hackl,2008.0,5.0,1.0,No,5.8
Saw VI,Kevin Greutert,2009.0,2.0,0.5,No,6.0
